label,text
spam,Your loan of $500 is pre-approved. Apply now.
spam,Get a free gift voucher worth $500. Click http://update-kyc.in.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,Congratulations! You won ₹2000 cash prize. Claim now.
spam,You’ve won a holiday trip to Dubai! Claim now.
spam,Free recharge of ₹300 available. Click http://claim-gift.com.
spam,Winner! You are chosen for a lucky draw. Call 9876543210.
ham,On the way.
spam,Free recharge of ₹5000 available. Click http://update-kyc.in.
spam,You have been selected for a VIP membership. Reply YES to claim.
ham,I will message you later.
spam,You have been selected for a special cashback offer. Reply YES to claim.
ham,Send me the notes.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,Congratulations! You won ₹2000 cash prize. Claim now.
spam,Congratulations! You won ₹5000 cash prize. Claim now.
ham,Did you eat?
ham,Are you coming today?
spam,Congratulations! You won ₹10000 cash prize. Claim now.
ham,"Good morning, have a nice day!"
spam,Get a free gift voucher worth ₹300. Click http://update-kyc.in.
spam,Congratulations! You won ₹5000 cash prize. Claim now.
ham,See you tomorrow.
ham,Did you eat?
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,Winner! You are chosen for a lucky draw. Call 9988776655.
ham,Thank you!
ham,Bro where are you?
ham,Did you eat?
spam,Your loan of ₹2000 is pre-approved. Apply now.
ham,See you tomorrow.
ham,Send me the notes.
spam,You’ve won a holiday trip to Goa! Claim now.
ham,Thank you!
ham,Call me when you reach.
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
spam,Winner! You are chosen for a lucky draw. Call 9028374651.
spam,Get a free gift voucher worth ₹300. Click http://update-kyc.in.
ham,I'm waiting outside.
spam,You have been selected for a VIP membership. Reply YES to claim.
spam,You have been selected for a VIP membership. Reply YES to claim.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,Are you coming today?
spam,Free recharge of $500 available. Click http://update-kyc.in.
spam,Your account will be suspended. Update KYC here: http://update-kyc.in.
spam,Free recharge of ₹2000 available. Click http://update-kyc.in.
ham,Don't forget the class at 4 PM.
ham,See you tomorrow.
ham,I reached home.
ham,Call me when you reach.
ham,I will message you later.
ham,Call me when you reach.
ham,I'm waiting outside.
spam,You’ve won a holiday trip to Goa! Claim now.
spam,Your account will be suspended. Update KYC here: http://update-kyc.in.
spam,URGENT! Your ATM card will be blocked. Verify at http://verify-now.com.
ham,I reached home.
ham,Don't forget the class at 6 PM.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,"Good morning, have a nice day!"
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
spam,Congratulations! You won ₹5000 cash prize. Claim now.
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
spam,Free recharge of $500 available. Click http://verify-now.com.
spam,Your loan of ₹10000 is pre-approved. Apply now.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,Thank you!
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
ham,Are you coming today?
ham,I reached home.
spam,Your loan of ₹5000 is pre-approved. Apply now.
ham,"Good morning, have a nice day!"
spam,Free recharge of ₹300 available. Click http://update-kyc.in.
spam,Get a free gift voucher worth ₹5000. Click http://verify-now.com.
spam,You have been selected for a special cashback offer. Reply YES to claim.
ham,Bro where are you?
spam,Free recharge of ₹300 available. Click http://update-kyc.in.
spam,Get a free gift voucher worth ₹300. Click http://verify-now.com.
ham,"Good morning, have a nice day!"
ham,On the way.
ham,I reached home.
ham,Did you eat?
ham,Bro where are you?
spam,Free recharge of ₹5000 available. Click http://verify-now.com.
spam,Your account will be suspended. Update KYC here: http://claim-gift.com.
spam,Get a free gift voucher worth ₹2000. Click http://update-kyc.in.
ham,I reached home.
ham,Don't forget the class at 4 PM.
ham,Did you eat?
ham,Call me when you reach.
spam,Get a free gift voucher worth ₹300. Click http://verify-now.com.
spam,You’ve won a holiday trip to Goa! Claim now.
ham,"Good morning, have a nice day!"
spam,Your account will be suspended. Update KYC here: http://update-kyc.in.
ham,"Good morning, have a nice day!"
ham,Call me when you reach.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,Did you eat?
spam,URGENT! Your ATM card will be blocked. Verify at http://update-kyc.in.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,I reached home.
ham,On the way.
spam,Congratulations! You won ₹10000 cash prize. Claim now.
ham,Ok done.
ham,I will call you back.
spam,Get a free gift voucher worth ₹300. Click http://verify-now.com.
ham,Don't forget the class at 4 PM.
ham,I'm waiting outside.
ham,I will call you back.
ham,I'm waiting outside.
spam,Get a free gift voucher worth ₹10000. Click http://claim-gift.com.
spam,Get a free gift voucher worth ₹2000. Click http://claim-gift.com.
ham,Send me the notes.
spam,You’ve won a holiday trip to Dubai! Claim now.
spam,Congratulations! You won ₹5000 cash prize. Claim now.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,You’ve won a holiday trip to Goa! Claim now.
ham,Ok done.
spam,Congratulations! You won $500 cash prize. Claim now.
ham,Ok done.
ham,I will message you later.
ham,Call me when you reach.
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
spam,Winner! You are chosen for a lucky draw. Call 9028374651.
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
ham,Bro where are you?
spam,Your loan of ₹2000 is pre-approved. Apply now.
spam,You’ve won a holiday trip to Singapore! Claim now.
ham,Ok done.
spam,Free recharge of ₹5000 available. Click http://update-kyc.in.
ham,See you tomorrow.
spam,Get a free gift voucher worth ₹5000. Click http://update-kyc.in.
spam,Get a free gift voucher worth ₹10000. Click http://claim-gift.com.
ham,I'm waiting outside.
spam,Free recharge of ₹5000 available. Click http://update-kyc.in.
ham,Did you eat?
ham,Don't forget the class at 4 PM.
spam,You have been selected for a VIP membership. Reply YES to claim.
ham,I will call you back.
spam,You’ve won a holiday trip to Singapore! Claim now.
spam,Get a free gift voucher worth ₹300. Click http://update-kyc.in.
spam,You’ve won a holiday trip to Dubai! Claim now.
ham,I will message you later.
ham,Send me the notes.
spam,You have been selected for a special cashback offer. Reply YES to claim.
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
ham,Bro where are you?
ham,Bro where are you?
spam,Your loan of ₹10000 is pre-approved. Apply now.
spam,Winner! You are chosen for a lucky draw. Call 9876543210.
ham,"Good morning, have a nice day!"
ham,Send me the notes.
spam,You’ve won a holiday trip to Singapore! Claim now.
spam,Your account will be suspended. Update KYC here: http://claim-gift.com.
ham,I will call you back.
ham,Thank you!
spam,Free recharge of ₹2000 available. Click http://verify-now.com.
ham,I reached home.
ham,"Good morning, have a nice day!"
ham,Bro where are you?
spam,Your account will be suspended. Update KYC here: http://update-kyc.in.
ham,Call me when you reach.
spam,Winner! You are chosen for a lucky draw. Call 9876543210.
spam,You have been selected for a VIP membership. Reply YES to claim.
spam,You’ve won a holiday trip to Dubai! Claim now.
spam,Your account will be suspended. Update KYC here: http://verify-now.com.
spam,Congratulations! You won ₹300 cash prize. Claim now.
spam,Your loan of ₹10000 is pre-approved. Apply now.
ham,Thank you!
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
ham,See you tomorrow.
ham,Bro where are you?
ham,"Good morning, have a nice day!"
ham,Ok done.
ham,I'm waiting outside.
ham,Send me the notes.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,I will call you back.
ham,I will call you back.
ham,I will message you later.
spam,Congratulations! You won ₹10000 cash prize. Claim now.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,I will call you back.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,You have been selected for a VIP membership. Reply YES to claim.
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
spam,Free recharge of ₹2000 available. Click http://update-kyc.in.
ham,See you tomorrow.
ham,Did you eat?
ham,Are you coming today?
ham,Send me the notes.
ham,Are you coming today?
ham,I reached home.
spam,You’ve won a holiday trip to Goa! Claim now.
ham,I'm waiting outside.
spam,You’ve won a holiday trip to Goa! Claim now.
ham,Ok done.
ham,Don't forget the class at 2 PM.
ham,Are you coming today?
ham,"Good morning, have a nice day!"
ham,Are you coming today?
ham,Don't forget the class at 2 PM.
spam,Congratulations! You won ₹300 cash prize. Claim now.
ham,I will message you later.
ham,Thank you!
spam,Your account will be suspended. Update KYC here: http://verify-now.com.
ham,On the way.
ham,Don't forget the class at 4 PM.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,Thank you!
spam,Free recharge of $500 available. Click http://update-kyc.in.
spam,Congratulations! You won ₹2000 cash prize. Claim now.
spam,Get a free gift voucher worth ₹10000. Click http://update-kyc.in.
ham,Did you eat?
spam,Congratulations! You won ₹10000 cash prize. Claim now.
spam,Congratulations! You won ₹5000 cash prize. Claim now.
ham,Send me the notes.
ham,Don't forget the class at 4 PM.
ham,Call me when you reach.
ham,Call me when you reach.
spam,Congratulations! You won ₹10000 cash prize. Claim now.
ham,Send me the notes.
spam,You’ve won a holiday trip to Goa! Claim now.
ham,I will message you later.
spam,Get a free gift voucher worth $500. Click http://verify-now.com.
ham,I will call you back.
ham,"Good morning, have a nice day!"
spam,Free recharge of ₹300 available. Click http://verify-now.com.
ham,I will call you back.
ham,I'm waiting outside.
spam,Free recharge of ₹10000 available. Click http://claim-gift.com.
spam,URGENT! Your ATM card will be blocked. Verify at http://verify-now.com.
ham,"Good morning, have a nice day!"
ham,Ok done.
spam,URGENT! Your ATM card will be blocked. Verify at http://verify-now.com.
spam,You’ve won a holiday trip to Dubai! Claim now.
spam,Your loan of ₹5000 is pre-approved. Apply now.
spam,Get a free gift voucher worth ₹300. Click http://update-kyc.in.
spam,You’ve won a holiday trip to Singapore! Claim now.
ham,I will call you back.
spam,Free recharge of ₹5000 available. Click http://verify-now.com.
ham,Are you coming today?
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
spam,Your account will be suspended. Update KYC here: http://claim-gift.com.
spam,You’ve won a holiday trip to Dubai! Claim now.
spam,Your loan of ₹300 is pre-approved. Apply now.
spam,URGENT! Your ATM card will be blocked. Verify at http://update-kyc.in.
spam,Free recharge of ₹300 available. Click http://update-kyc.in.
ham,I reached home.
ham,Don't forget the class at 4 PM.
ham,I will call you back.
ham,I will call you back.
spam,Free recharge of ₹10000 available. Click http://claim-gift.com.
ham,I'm waiting outside.
ham,"Good morning, have a nice day!"
ham,Did you eat?
spam,Get a free gift voucher worth ₹300. Click http://update-kyc.in.
ham,Are you coming today?
spam,Get a free gift voucher worth ₹300. Click http://update-kyc.in.
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
ham,See you tomorrow.
ham,I reached home.
spam,Congratulations! You won ₹10000 cash prize. Claim now.
spam,Your account will be suspended. Update KYC here: http://verify-now.com.
spam,You have been selected for a special cashback offer. Reply YES to claim.
ham,Bro where are you?
ham,Are you coming today?
spam,You have been selected for a special cashback offer. Reply YES to claim.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,Free recharge of ₹5000 available. Click http://update-kyc.in.
ham,I reached home.
spam,Winner! You are chosen for a lucky draw. Call 9988776655.
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
ham,On the way.
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
spam,Your account will be suspended. Update KYC here: http://claim-gift.com.
ham,Don't forget the class at 2 PM.
spam,Winner! You are chosen for a lucky draw. Call 9876543210.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,Your loan of ₹10000 is pre-approved. Apply now.
ham,"Good morning, have a nice day!"
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
spam,Congratulations! You won ₹300 cash prize. Claim now.
ham,Don't forget the class at 2 PM.
ham,Send me the notes.
ham,Call me when you reach.
ham,I will call you back.
ham,Don't forget the class at 4 PM.
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
ham,Bro where are you?
ham,Bro where are you?
ham,"Good morning, have a nice day!"
spam,Your account will be suspended. Update KYC here: http://claim-gift.com.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
spam,You’ve won a holiday trip to Goa! Claim now.
ham,I will call you back.
ham,Ok done.
ham,Are you coming today?
spam,Your account will be suspended. Update KYC here: http://update-kyc.in.
ham,On the way.
spam,You’ve won a holiday trip to Goa! Claim now.
ham,Thank you!
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,Are you coming today?
ham,Ok done.
spam,Exclusive offer: Buy 1 get 1 free. Limited time.
ham,Are you coming today?
spam,Get a free gift voucher worth ₹300. Click http://claim-gift.com.
spam,You have been selected for a free Netflix subscription. Reply YES to claim.
ham,Thank you!
ham,Are you coming today?
spam,Winner! You are chosen for a lucky draw. Call 9876543210.
ham,I'm waiting outside.
spam,You have been selected for a special cashback offer. Reply YES to claim.
ham,On the way.
ham,See you tomorrow.
spam,Get a free gift voucher worth $500. Click http://update-kyc.in.
spam,You’ve won a holiday trip to Dubai! Claim now.
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
spam,You have been selected for a VIP membership. Reply YES to claim.
ham,Ok done.
spam,Your loan of $500 is pre-approved. Apply now.
spam,Winner! You are chosen for a lucky draw. Call 9028374651.
spam,Get a free gift voucher worth ₹2000. Click http://claim-gift.com.
spam,Get a free gift voucher worth ₹5000. Click http://claim-gift.com.
spam,URGENT! Your ATM card will be blocked. Verify at http://claim-gift.com.
