label,text
ham,Go until jurong point crazy.. Available only in bugis n great world la e buffet... Cine there got amore wat...
ham,Ok lar... Joking wif u oni...
spam,Free entry in 2 a wkly comp to win FA Cup final tkts 21st May 2005. Text FA to 87121 to receive entry question(std txt rate)
ham,U dun say so early hor... U c already then say...
ham,"Nah I don't think he goes to usf, he lives around here though"
spam,WINNER!! As a valued network customer you have been selected to receive a Â£900 prize reward! To claim call 09061701461.
ham,Hey what you doing?how are you?
spam,"SIX chances to win CASH! From 100 to 20,000 pounds. Text CSH11 and send to 87575."
ham,"I'm gonna be home soon and i don't want to talk about this stuff anymore tonight, k?"
ham,I've been searching for the right words to thank you for this breather. I promise i won't take your help for granted and will fulfil my promise.
spam,"URGENT! You have won a 1 week FREE membership in our Â£100,000 Prize Jackpot! Txt the word CLAIM to 81010."
ham,I've been going through a lot lately and just needed to vent a little.
ham,Ok... I will come with you.
spam,Congratulations! You won a free ticket to Bahamas! Call now to claim.
ham,Can you call me later? I'm in class.
spam,You have won $500! Claim your reward now by texting WIN to 88882.
ham,Where are you? I'm waiting.
spam,Exclusive offer: Get a FREE ringtone by texting TONE to 89555.
ham,"Don't worry, I'll handle it."
spam,Your loan is approved! Call us today to receive the amount.
ham,Good morning! Have a nice day :
spam,Youâve been selected for a $1000 Walmart gift card! Click the link to claim now.
ham,"I'll talk to you later, busy right now."
